N,TAU,HOP_LENGTH,Params,MACs,balanced_acc_mean,balanced_acc_std,top_1_acc_mean,top_1_acc_std,top_3_acc_mean,top_3_acc_std,rejection_recall_mean,rejection_recall_std,target_recall_mean,target_recall_std,macro_auc_pr_mean,macro_auc_pr_std,conf_correct_mean,conf_correct_std,conf_wrong_mean,conf_wrong_std
1,0.125,160,544,167329,0.9294790264459589,0.024847907881447338,0.9639254884143572,0.012492783259155931,,,0.9778082832586819,0.008884135465995611,0.8328205128205127,0.05831290146543519,0.8924167314510726,0.062326977584069396,0.93034965,0.04067858,0.7222389,0.033527177
1,0.125,320,544,84629,0.934976079195253,0.007234857538807236,0.9626987732848706,0.013213484621818207,,,0.9773359136646743,0.008555754939569015,0.8502564102564103,0.012243421934680344,0.9228167410932692,0.018958796529185,0.94096243,0.013508936,0.7000307,0.03064327
1,0.25,160,1408,399884,0.9483973668451163,0.010550435545102961,0.9815386945327882,0.004545408204102166,,,0.9872114348830593,0.005429040696548505,0.8707692307692309,0.028873206687711275,0.9517426659539007,0.011430694673322694,0.966833,0.0067061014,0.72407496,0.020059787
1,0.25,320,1408,202234,0.9519673993878428,0.008034125210941354,0.957852491291837,0.01823282463285752,,,0.9730793042099692,0.011710948079773065,0.9097435897435897,0.03545515080501251,0.9329620449408417,0.015143417347212145,0.9599439,0.011645455,0.74709463,0.018667296
1,0.5,160,3365,947225,0.965447935346783,0.010103867025619303,0.9841738603665,0.006332511638788611,,,0.9902231850714565,0.004525073051004363,0.9158974358974359,0.03582410091604719,0.9693288511293092,0.011606458609343293,0.9695379,0.008038156,0.70686567,0.0161064
1,0.5,320,3365,478925,0.9642033812434114,0.006080553599525381,0.9794638800545206,0.009844359783635372,,,0.9878435334035787,0.005897637175689166,0.9169230769230768,0.01898128771622741,0.9671387177992747,0.009983192544981999,0.97045135,0.010927056,0.7170049,0.035398465
1,1.0,160,8935,2484287,0.9736713323762605,0.0031499821413168406,0.9832197485991216,0.004600329751708497,,,0.9902505883079804,0.0028224894494689877,0.9405128205128206,0.009996712148522024,0.9781022378274302,0.0016626740742128447,0.9768675,0.0053100437,0.7319571,0.023212695
1,1.0,320,8935,1255687,0.9729748103855996,0.0029195279908082452,0.9862335302135394,0.003377711146513368,,,0.9907442668604507,0.00367326951083564,0.9374358974358975,0.011117683789066059,0.9794734757875089,0.003241100705560492,0.97959024,0.005322046,0.7261963,0.040212795
2,0.125,160,549,167334,0.8115430513708166,0.18835302854050914,0.7765258215962442,0.11109601763409117,0.9959563834620628,0.004819170625908442,0.8282954489215442,0.1308652000028224,0.794790653820089,0.25204954426036685,0.7457889586747822,0.17114521111774444,0.7866208,0.16107604,0.67075825,0.0810709
2,0.125,320,549,84634,0.845725928748478,0.13186060621190807,0.7684234438891413,0.1479493802603261,0.9991064667575345,0.0013655385829289448,0.8356057807121362,0.1208688851231757,0.8558460767848197,0.14566172140483194,0.7676341882508452,0.1056125621312766,0.7594987,0.14928481,0.6488756,0.11050354
2,0.25,160,1417,399893,0.9296366119441462,0.005395563515203915,0.8725276389519916,0.031121415714229432,0.9993639254884144,0.0004303580868812084,0.9192797061063894,0.02097271955797291,0.9399935177819028,0.026911060603627756,0.8954286768714166,0.01584849236126173,0.88985646,0.01663309,0.69241583,0.01834358
2,0.25,320,1417,202243,0.9317696574861228,0.010425023118851037,0.8828865667121006,0.022213075188867247,0.9994850825382402,0.0002296797044994898,0.9245417016070906,0.014422648049059565,0.9389976133651551,0.015992324086315134,0.8889435441113885,0.02396701489772178,0.89929265,0.026732964,0.69889146,0.020157518
2,0.5,160,3382,947242,0.9572073274491885,0.002984617367839605,0.926381947599576,0.010769392949371251,0.9995456610631532,0.00038980880436873,0.9538453982909341,0.0074389440894732945,0.9605692566074427,0.012309627596212205,0.9389791205999256,0.012803242251763738,0.9370309,0.0088438485,0.7084592,0.036737133
2,0.5,320,3382,478942,0.9516476789367339,0.012083468982603809,0.9263516583371194,0.03110524392596695,0.9995153718006966,0.0007115559570397677,0.9525448938055809,0.01851002998006396,0.9507504640678865,0.015998485454352975,0.9245757022629922,0.0339953375015211,0.9283698,0.033355787,0.7157802,0.026441941
2,1.0,160,8968,2484320,0.9650183029537663,0.009644759131120046,0.9314099651673482,0.0299876318579397,0.9993184915947296,0.0005538671376013739,0.9536902197441217,0.021253033851285106,0.9763463861634107,0.005509003106342482,0.9641345440624354,0.01439917608575852,0.94882363,0.023413843,0.7286737,0.021403996
2,1.0,320,8968,1255720,0.967150221172929,0.00462822374237148,0.9446766621232772,0.013756899017875471,0.9993790701196426,0.0006802451819316909,0.9639288933903792,0.00925672272113423,0.9703715489554788,0.004096245410986409,0.961530394889291,0.013378538414072886,0.9563845,0.008925623,0.73849523,0.021696074
4,0.125,160,559,167344,0.7802770594463382,0.05380993318083088,0.5928214447978192,0.096873424145097,0.9882023322732092,0.003920968130866231,0.7079198756840188,0.09430916094693333,0.8164556513274979,0.037440672584677835,0.6475345401167643,0.06933418450558662,0.65600705,0.031953454,0.5912342,0.03284905
4,0.125,320,559,84644,0.7799330261673021,0.015895180974783422,0.5750719369983341,0.09527919494625849,0.9842798727850977,0.008554806598953746,0.6936961709501912,0.046708365362935676,0.8230514537758575,0.037061330510990684,0.6646169146658804,0.019144122338723105,0.6882071,0.032870796,0.6207238,0.010060507
