N,TAU,HOP_LENGTH,flash_kb,ram_kb,clock_mhz
1,0.125,320,66.1,33.4,2.5
1,0.125,160,66.1,56.9,5.0
1,0.25,320,69.5,49.1,6.1
1,0.25,160,69.5,88.1,12.0
1,0.5,320,77.1,80.3,14.4
1,0.5,160,77.1,150.6,28.4
1,1.0,320,98.9,142.8,37.7
1,1.0,160,98.9,275.6,74.5
2,0.125,320,66.1,33.4,2.5
2,0.125,160,66.1,56.9,5.0
2,0.25,320,69.5,49.1,6.1
2,0.25,160,69.5,88.1,12.0
2,0.5,320,77.2,80.3,14.4
2,0.5,160,77.2,150.6,28.4
2,1.0,320,99.0,142.8,37.7
2,1.0,160,99.0,275.6,74.5
4,0.125,320,66.2,33.4,2.5
4,0.125,160,66.2,56.9,5.0
4,0.25,320,69.6,49.1,6.1
4,0.25,160,69.6,88.1,12.0
4,0.5,320,77.3,80.3,14.4
4,0.5,160,77.3,150.6,28.4
4,1.0,320,99.3,142.8,37.7
4,1.0,160,99.3,275.6,74.5
10,0.125,320,66.3,33.4,2.5
10,0.125,160,66.3,56.9,5.0
10,0.25,320,69.8,49.1,6.1
10,0.25,160,69.8,88.1,12.0
10,0.5,320,77.7,80.3,14.4
10,0.5,160,77.7,150.6,28.4
10,1.0,320,100.1,142.8,37.7
10,1.0,160,100.1,275.6,74.5
24,0.125,320,66.6,33.4,2.5
24,0.125,160,66.6,56.9,5.0
24,0.25,320,70.3,49.1,6.1
24,0.25,160,70.3,88.1,12.0
24,0.5,320,78.7,80.3,14.4
24,0.5,160,78.7,150.6,28.4
24,1.0,320,101.9,142.8,37.7
24,1.0,160,101.9,275.6,74.6
